annual_wacc
Year,avgwacc
2020,0.07676822486111110
2025,0.07397519102777780
2030,0.07117862048611110
2035,0.06784264131944450
2040,0.06447918906944440
2045,0.06118296172222220
2050,0.058007988375
2055,0.057608486611111100
2060,0.057328670152777800
2065,0.057088123402777800
2070,0.0568660415
2075,0.056650118125000000
2080,0.056445690708333300
2085,0.056264395125
2090,0.05609536005555560
2095,0.05594031529166670
2100,0.05580977093055560
